번호,카테고리,질문,답변
466,무통장입금,주문자명과 입금자명이 달라도 무통장입금으로 주문할 수 있나요?,"주문자명과 입금자명이 상이하더라도 입금 가능합니다.
입금기한(24시간)이내 미입금 시 자동취소되므로, 금액 원단위까지 일치된 금액을 입금기한 내 입금해주시면 됩니다."
467,선물하기,선물하기로 발급된 현금영수증은 어디서 확인할 수 있나요?,"발급된 현금영수증은 국세청 홈페이지에서 확인할 수 있으며, 실제로 결제를 진행한 주문자의 정보로 현금영수증이 발급됩니다. 
 현금영수증 확인하기
• 국세청 홈페이지 : https://www.hometax.go.kr/
• 국세청 홈페이지 로그인 후 조회/발급 메뉴에서 현금영수증 사용내역(소득공제) 조회 및 출력 가능"
468,선물하기,선물로 적립받은 쿠팡캐시의 사용기한은 어떻게 되나요?,전자금융거래법에 따라 사용기한은 5년입니다. 5년의 유효기간 만료 시 사용 또는 기간 연장은 불가합니다.
469,나중결제,쿠팡 나중결제를 이용한 대리구매 등을 하면 어떻게 되나요?,"나중결제 서비스를 이용하는 고객이 타인의 상품을 대리 구매하고 금전을 지급받는 등 본래의 취지와 달리 악용하는 행위는 쿠팡 이용약관 및 쿠팡 서비스 이용 정책을 위반하는 부정행위에 해당하며, 적발 시 계약 해제, 회원자격 제한 및 민·형사상 법적 조치 등 불이익이 발생할 수 있습니다."
470,배송,배송 및 회수 요청사항에 소화전/EPS실/TPS실을 지정해도 되나요?,"아니요. 화재예방, 소방시설 설치/유지 및 안전 관리에 관한 법률(제10조)에 따라 소방법에 위반될 수 있으며, 소방 호스가 흐트러지거나 엉켜서 화재 시 신속한 방수가 어려울 수 있고, 물건 보관으로 인해 소화전/EPS실/TPS실의 장비가 훼손될 수 있기에 안전상을 이유로 소화전/EPS/TPS에 물품보관이 제한됩니다. 안전하고 신속한 배송을 위해 다른 장소로 지정해 주시기 바랍니다."
471,애플케어,애플케어 플러스(Apple Care+)란 무엇인가요?,"로켓배송 상품 중 일부 애플 제품을 구매할 때 함께 구매할 수 있는 무형의 보험상품입니다. 애플케어 플러스(Apple Care+) 서비스 및 지원 적용 범위에 관한 문의는 애플 지원센터로 연락하시면 자세한 안내를 받으실 수 있습니다. 
 애플 지원센터
연락처 : 080-333-4000
홈페이지 : https://support.apple.com"
472,주문,"이미 주문했는데, 상품을 추가하고 싶어요.",주문 완료 이후에는 상품을 추가할 수 없습니다. 추가 구매를 원하시면 취소 후 다시 함께 주문하시거나 따로 주문해 주시기 바랍니다.
473,배송지,한 번에 같이 구매한 상품의 배송지를 각각 설정할 수 있나요?,"아니요. 한 주문번호 당 배송지는 한 곳만 설정이 가능합니다. 
 상품을 각각 다른 주소로 배송받길 원하시면, 배송지를 달리하여 각각 따로 주문해 주세요."
474,주문확인,주문한 내역은 어디에서 삭제하나요?,주문내역 삭제는 [마이쿠팡 → 주문목록]에서 해당 상품에 표시된 ⁝ 버튼을 눌러 삭제할 수 있습니다.
475,새벽배송,새벽배송의 수령 방법과 문자 알림 시간을 바꾸고 싶어요.,"다음의 방법을 통해 새벽배송의 수령 방법과 문자 알림 시간을 변경할 수 있습니다. 
 새벽배송 설정/변경하기  
① 마이쿠팡에서 [주소록∙배송지 관리] 메뉴로 이동
② 변경할 주소지에서 [수정] 버튼 선택
③ [새벽] 메뉴 선택
④ 원하는 수령 방법과 문자 알림 시간을 선택
⑤ [동의하고 저장하기] 선택"
476,로켓배송,다른 계정으로 로그인하거나 배송지를 바꾸면 없었던 상품 재고가 있다고 나와요.,"로켓배송 상품은 각 지역마다 상품이 출고되는 물류센터가 다르며, 물류센터는 보유하고 있는 상품의 종류, 재고수량 등이 모두 다릅니다. 이 때문에 배송 주소지 설정에 따라 보이는 상품의 종류나 주문 마감시간이 달라질 수 있습니다."
477,로켓배송,상품 가격이 왜 자꾸 바뀌는 건가요?,"로켓배송 상품의 경우 시장가를 반영하여 실시간으로 가격이 변동될 수 있으며, 로그인 상태 및 프로모션 진행 상황에 따라서도 가격이 변동될 수 있습니다."
478,로켓설치,로켓설치 서비스가 무엇인가요?,"로켓배송과 로켓그로스를 통해 설치 가전제품을 구매하시면, 쿠팡에서 계약한 설치 업체 혹은 쿠팡로지스틱스서비스(CLS)에서 배송 및 설치하는 서비스입니다. 
 로켓설치 서비스 혜택
• 빠른 배송과 전문적인 설치 : 전문 설치 기사가 직접 배송 및 설치 진행
• 희망 배송일 지정 : 주문 시 원하는 날짜 지정 가능 (주문일 14일 이내, 일/공휴일 제외)
• 배송비 무료 (일부 상품 및 지역에 따라 별도의 설치비용 발생할 수 있습니다.)
• 쿠팡 고객센터를 통한 빠르고 편리한 상담"
479,리워드 프로그램,수익 데이터가 마이너스로 나옵니다.,이전에 발생한 수익에서 구매자가 취소 혹은 반품할 경우 마이너스 금액이 발생할 수 있습니다. 이때 발생한 취소분은 취소 및 반품된 날짜를 기준으로 표기됩니다.
480,리워드 프로그램,서비스 참여 내역은 어디서 확인할 수 있나요?,리워드 프로그램에 참여한 상세 내역과 쿠팡캐시 지급 내역은 모바일 앱 [마이쿠팡 → 리워드 프로그램] 메뉴에서 확인할 수 있습니다. 리워드 내역은 주문이 발생한 날을 기준으로 다음날에 반영됩니다.
481,리워드 프로그램,어떤 상품을 공유할 수 있나요?,"쿠팡에서 판매 중인 모든 상품을 상품페이지의 [공유하기] 버튼을 통해 공유하실 수 있습니다. 단, 운영 정책에서 제한하는 일부 품목은 실적 집계에서 제외됩니다. (성인 용품 등 정책적으로 제한하는 품목) 자세한 내용은 [프로그램 운영 정책]을 참고해 주세요."
482,리워드 프로그램,이용 방법이 궁금합니다.,"약관에 동의한 아이디로 로그인 후 추천할 상품페이지에서 [공유하기] 버튼을 통해 고객님의 추천 링크를 만들 수 있습니다. 생성된 링크를 카카오톡, SNS 등으로 친구에게 공유할 수 있습니다. 단, 리워드 프로그램은 모바일 앱으로만 공유가 가능합니다. (PC와 모바일 웹에서는 이용 불가)"
483,리워드 프로그램,제 링크를 통해 제가 구매해도 수익으로 인정이 되나요?,"아니요. 본인 링크를 통한 구매 활동은 본 프로그램 운영 목적에 부합하지 않는 활동으로 실적에서 제외됩니다. 또한, 가족 간의 링크 공유나 여러 개의 계정을 운영하는 행위와 같이 약관에 위반된 행위로 발생한 구매 금액의 경우 실적에서 제외될 수 있습니다."
484,리워드 프로그램,로그인하지 않고도 이용할 수 있나요?,아니요. 로그인을 하지 않은 상태에서 공유할 경우 리워드 프로그램에 적용되지 않습니다.
485,리워드 프로그램,어떤 경우에 수익이 발생하나요?,"공유한 링크로 구매자가 쿠팡에 접속한 후 24시간 내 발생한 모든 구매액에 대한 수익이 발생합니다.
 리워드 프로그램 수익금(쿠팡캐시) 발생 기준 
• 수익금은 할인 금액을 제외한 실제 결제 금액의 1%로 계산되며, 월 최대 5만원까지 지급됩니다.
• 구매자의 마지막 접속 경로가 고객의 고유 링크인 경우에만 수익으로 집계됩니다. 
• 구매자가 반품 또는 취소를 하는 경우에는 수익금이 인정되지 않습니다."
486,리워드 프로그램,리워드 프로그램에 대한 안내를 그만 보고싶어요.,"상품 상세페이지에서 [공유하기] 아이콘을 선택하면 리워드 프로그램에 대한 공유 경로와 안내를 확인할 수 있습니다. 이 안내는 다음의 방법을 통해 노출되지 않게 설정을 변경할 수 있습니다. 
 리워드 프로그램 설정/변경하기 (모바일 앱에서만 가능)
① 마이쿠팡에서 [리워드 프로그램] 메뉴 선택
② 아래쪽 [자주 묻는 질문] 으로 이동
③ 문답 중 [리워드 프로그램 참여를 중단하고 싶어요] 선택
③ [리워드 프로그램 설정] 선택
④ [리워드 프로그램 참여] 에서 ON/OFF (노출/비노출) 선택
 유의사항
• 설정을 OFF(비노출)로 변경하더라도 수익금은 정상적으로 적립(지급)됩니다.
• [공유하기] 아이콘을 선택할 때마다 팝업 창이 노출되는 경우 쿠팡 모바일 앱을 업데이트해 주세요. (6.0.4 이전 버전)"
487,리워드 프로그램,쿠팡을 탈퇴하면 리워드로 받은 쿠팡캐시는 어떻게 되나요?,"리워드 프로그램 참여를 통해 지급된 쿠팡캐시는 소멸되며, 지급예정인 쿠팡캐시는 지급되지 않습니다."
488,리워드 프로그램,쿠팡캐시를 받고 싶지 않습니다.,"리워드 프로그램 참여를 통해 지급되는 쿠팡캐시를 원치 않으실 경우, 쿠팡 고객센터로 문의 바랍니다."
489,리워드 프로그램,리워드 프로그램은 어떤 서비스인가요?,"리워드 프로그램이란 쿠팡 내 공유하기 기능을 통해 친구에게 쿠팡 상품을 공유하여 발생한 수익금을 쿠팡캐시로 지급받는 서비스입니다. 
 리워드 프로그램 이용안내
• 쿠팡 모바일 앱에서 로그인 후 공유 버튼을 통해 약관에 동의한 뒤 이용할 수 있습니다.
• 지급된 쿠팡캐시 및 상세내역은 모바일 앱 [마이쿠팡 → 리워드 프로그램] 메뉴에서 확인할 수 있습니다.
 자세한 운영 방안은 [프로그램 운영 정책]을 참고해 주세요."
490,휴대폰결제,LGU+는 왜 결제를 못하나요?,LG U+는 소액결제 피해 예방 및 스미싱 사고 방지를 위하여 휴대폰 결제 서비스를 중단하였습니다. 다른 결제수단을 이용하여 주문해 주시기 바랍니다.
491,쿠페이,쿠페이 머니 충전 및 자동충전 단위는 어떻게 되나요?,"쿠페이 머니는 10만원 단위로 충전됩니다.
 결제수단을 쿠페이 머니로 선택하여 결제할 경우 잔액이 부족하면 연결 계좌에서 10만원 단위로 자동 충전된 후 결제됩니다. 충전 예정 금액은 주문/결제 페이지의 결제수단 부분에서 확인이 가능하며, 충전된 쿠페이 머니는 연결된 계좌로 언제든지 인출이 가능합니다. 
 쿠페이 머니 인출하기
마이쿠팡 → 결제수단∙쿠페이 → 쿠페이 머니 → 인출하기
 • [내 계좌] 이용 시 즉시 인출 가능 (단, 보이스피싱 등 피해 예방을 위해 충전 시점으로부터 24시간 이내에는 충전 계좌로만 인출 가능)
• [직접 입력] 등록 후 이용 시 평일(영업일) 기준 1~3일 소요"
492,로켓모바일,이용할 수 있는 요금제에는 무엇이 있나요?,이용 가능한 요금제는 휴대폰 구매/결제 단계에서 기기별로 확인이 가능합니다. 자세한 요금제 정보는 각 통신사의 홈페이지 또는 모바일 앱을 통해서 확인해 주세요.
493,티켓,티켓 구매 후 문자가 오지 않습니다.,"티켓 구매 후 문자가 오지 않는다면 다음을 확인해 주세요.
 ① 쿠팡 고객센터 전화번호(1577-7011)가 차단 또는 스팸 설정되어 있는지 확인
② 구매자의 휴대폰 번호가 정확히 입력되어 있는지 확인"
494,티켓,바로사용 티켓이란 무엇인가요?,"바로사용 티켓이란 구매 즉시 영업장에 방문하여 바로 사용할 수 있는 티켓을 의미합니다. 단, 일부 영업장은 예약이 필요하니 구매한 상품의 상세페이지 내 사용조건(예약기준, 운영시간 등)을 반드시 확인해 주세요."
495,여행/티켓,위치 정보는 어디에서 확인하나요?,여행 상품의 위치 정보는 상품 상세페이지에서 확인할 수 있습니다. 추가적인 정보가 필요한 경우 상품 상세페이지 내 [판매자 정보] 메뉴에서 판매 연락처를 확인하여 문의해 주시기 바랍니다.
496,티켓,티켓을 선물하고 싶은데 어떻게 하나요?,"다른 사람에게 양도가 가능한 상품에 한하여 현장에서 구매자(주문자)의 정보로 티켓을 사용할 수 있습니다. (주문자의 이름, 휴대폰 번호 뒷자리 등) 그러나 티켓 양도 시 여러 가지 문제가 발생할 우려가 있기에 타인에게 양도하는 것을 권장하지 않습니다. 또한, 일부 티켓은 구매자(주문자) 본인만 사용할 수 있습니다. 따라서, 티켓을 선물하기 전 상품의 필수 표기 정보, 사용 조건, 유의 사항을 반드시 확인해 주세요."
497,오픈뱅킹,오픈뱅킹(자동이체/출금이체 동의)이 등록되었다는 문자가 왔어요. 오픈뱅킹이 무엇인가요?,"오픈 뱅킹이란 핀테크(금융기술) 기업과 은행권이 공동으로 이용할 수 있는 공동 결제 시스템으로 스마트폰에 설치한 응용프로그램(앱)을 통해 모든 은행 계좌에서 결제를 비롯한 잔액 조회, 거래내역 조회, 계좌 실명 조회, 송금인 정보 조회, 입금 이체, 출금 이체 등의 금융 서비스를 실시간으로 이용할 수 있는 서비스를 말합니다.
 쿠팡은 더욱 편리하고 안전한 결제를 위해 국내 주요 은행과 금융결제원이 제공하는 오픈뱅킹 서비스를 도입하였으며, 쿠팡이 이용하는 오픈뱅킹 서비스는 고객님의 계좌 조회, 잔액 및 거래내역을 조회할 수 있는 기능은 없기 때문에 안심하고 이용하시길 바랍니다.
 ※ 쿠페이 계좌이체를 이용한 결제/충전 시 오픈뱅킹 미동의 상태라면, 약관 동의 후 오픈뱅킹이 등록되고 은행에서 이와 관련된 안내 문자를 받으실 수 있는 점 참고해 주세요."
498,배송지,상품 결제 후 상품준비중 이라고 하는데 배송지 변경되나요?,"로켓배송 상품만 주문하셨다면 상품을 준비하는 중에도 배송지 변경이 가능합니다.
 판매자 배송 상품의 경우 '상품준비중'일 때 배송지 등록 후 출고 준비를 마친 상태이기 때문에 배송지 변경이 가능하지 않습니다. 단, 일부 판매자의 경우 예외적으로 가능한 경우가 있으니 판매자에게 직접 문의해 보시기 바랍니다."
499,로켓직구,건강식품은 몇 개까지 구매할 수 있나요?,"건강기능식품은 최대 6병까지 구매 가능하며, 면세 통관범위를 초과한 경우에는 세관에서 폐기될 수 있습니다."
500,로켓직구,자가사용 인정기준이 어떻게 되나요?,"자가사용(자가소비, 개인소비) 인정기준은 각 품목마다 상이합니다. 품목별 자세한 기준은 관세청 홈페이지(http://www.customs.go.kr)를 확인해 주시기 바랍니다. 
 면세 범위 내에서 상품을 구매했어도 자가사용 인정기준을 초과하면 구매 금액에 상관없이 관세와 부가세가 부과됩니다. 또한, 특정 품목은 자가사용 인정기준 초과 분에 대해 폐기될 수 있습니다."
501,개인정보 설정,주문 시 입력한 개인통관고유부호를 확인하고 싶어요.,"주문 후에는 개인통관고유부호 정보를 확인할 수 없습니다. 만약 세관 신고 과정에서 개인통관고유부호가 누락되었거나, 수정이 필요한 경우에는 관세사무소에서 고객님께 직접 연락을 드립니다.
 ※ 주문 시 '구매자'와 '받는 사람(수취인)'이 다른 경우, 개인통관고유부호는 '받는 사람(수취인)'의 정보로 입력해 주시기 바랍니다."
502,상담,PC 웹사이트에서 [채팅 상담하기]를 눌러도 채팅창이 열리지 않는데 어떻게 하나요?,"PC 웹 브라우저의 팝업 설정이 차단되어 있으면 채팅창이 열리지 않습니다. 사용하시는 각 브라우저의 팝업 설정을 확인한 후 차단을 해제해 주세요. 
 1. 크롬 (Chrome)
① 브라우저 주소표시줄에 팝업 차단 표시를 클릭
② [팝업을 항상 허용]을 선택
③ [완료]를 클릭하면 팝업 차단이 해제됩니다.
 2. 엣지 (Edge)
① 브라우저 주소표시줄에 팝업 차단 표시를 클릭
② [팝업 및 리디렉션 허용]을 선택
③ [완료]를 클릭하면 팝업 차단이 해제됩니다.
 이 외 브라우저 및 더 자세한 방법은 각 브라우저 홈페이지를 방문하시어 도움말을 참고해 주세요."
503,쿠페이 신용카드,쿠페이 해지 시 카드는 자동으로 삭제되나요?,"네, 쿠페이 해지 시 등록된 카드는 자동으로 삭제됩니다."
504,기프트카드,기프트카드를 쿠팡캐시로 등록했는데 잔액 확인은 어디서 하나요?,"[마이쿠팡 → 쿠팡캐시] 메뉴에서 잔액을 확인할 수 있으며, 세부 적립 및 사용 내역도 함께 확인할 수 있습니다."
505,기프트카드,기프트카드 환불 신청은 어떻게 하나요?,"쿠팡 모바일 앱에서 구매한 기프트카드
기프트카드를 받는 분이 수락하기 전이라면 [마이쿠팡 → 주문목록]에서 주문 취소가 가능합니다. 만약, 이미 받는 분이 수락하여 쿠팡캐시로 전환하였다면 쿠팡페이 고객센터(1670-9892)로 연락 주시기 바랍니다. 단, 원금의 60% 이상을 사용해야만(1만원권 이하의 경우 80%) 나머지 잔액을 환불받을 수 있습니다. 
 복지몰에서 구매한 기프트카드
기프트카드 등록번호를 쿠팡에 등록하기 전이라면 구매하신 복지몰로 문의해 주시기 바랍니다. 만약, 이미 쿠팡에 등록번호를 등록하여 쿠팡캐시로 전환했다면 쿠팡페이 고객센터(1670-9892)로 연락 주시기 바랍니다. 단, 원금의 60% 이상을 사용해야만(1만원권 이하의 경우 80%) 나머지 잔액을 환불받을 수 있습니다."
506,기프트카드,기프트카드의 유효기간은 어떻게 되나요?,기프트카드 구매 후 전환된 쿠팡캐시는 5년간 유효합니다.
507,기프트카드,쿠팡캐시로 전환 후 결제한 내역을 취소/반품했는데 재적립이 안돼요.,주문/취소 내역을 확인한 후 쿠팡페이 고객센터(1670-9892)로 연락 주시면 확인 후 도와드리겠습니다.
508,배송,쿠팡 배송차량의 문제는 어디에 말하면 되나요?,"쿠팡 배송차량의 사고, 과속, 주차 문제 등으로 확인이 필요할 시 고객님의 주소지 및 차량번호를 확인하여 신고접수센터(1800-9119)로 연락 부탁드립니다."
509,장바구니,"로켓배송 상품을 결제하려는데 X,XXX원을 추가해야 주문이 가능하다고 합니다.","와우 멤버십 회원이 아닌 경우, 로켓배송 구매 가능 조건인 19,800원이 충족되어야 주문이 가능합니다. 구매 가능 조건 금액이 부족하다면 장바구니에 추가로 필요한 [로켓배송] 상품을 담아 조건 충족 후 한 번에 주문해 주시기 바랍니다."
510,주문,주문하지 않은 상품을 받았는데 누가 주문한지 알 수 있나요?,"배송출발 또는 배송완료 안내 문자를 받은 경우, 문자에서 주문자의 이름을 확인할 수 있습니다. 단, 해당 주문자가 누구인지 모르거나 안내 문자를 받지 못했다면 운송장에 기재된 주문번호(주문번호 확인 불가 시 운송장 번호)를 확인하여 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다. 상품의 정상 배송 확인 및 주문자와 연락을 통해 주문자 확인을 도와드리겠습니다."
511,쿠페이,쿠페이로 구매 후 취소/반품 신청했는데 쿠팡캐시로 환불이 가능할까요?,"쿠페이로 결제한 주문을 취소하거나 반품할 경우 환불은 결제 시 선택했던 결제수단으로만 환불됩니다. 이외 다른 결제수단으로는 환불이 불가합니다. 
 단, 원래 결제수단으로 환불이 불가한 경우에는 등록된 환불계좌로 현금 환불이 진행되므로 환불계좌를 등록해 주시기 바랍니다. 쿠페이 회원이 환불계좌를 등록하지 않은 경우에는 쿠페이 머니로 환불됩니다. 
 환불계좌 등록하기
마이쿠팡 → MY쇼핑 → 취소/반품/교환/환불내역 → 무통장환불 → [입력하기]"
512,해외 항공권,미국 무비자(ESTA) 체크사항이 있나요?,"미국이 도착지 또는 경유지인 경우 비자 면제 프로그램을 이용하기 위해서는 반드시 미국 ESTA 전자여행허가서를 발급받아야 합니다. 이때, 여행 기간은 90일 미만이어야 하며, 방문 목적이 관광 또는 사업이어야 합니다. 
 전자여행허가(ESTA) 홈페이지에서 온라인으로 신청서 작성 후 승인을 받아야 합니다. 신청은 여행 전 언제든지 가능하지만, 늦어도 출발 72시간 전까지 신청하시길 권장합니다. 승인번호를 받은 후 승인 내역을 반드시 출력하여 이용해 주시기 바랍니다. 
 • 전자여행허가(ESTA) 홈페이지 : https://esta.cbp.dhs.gov/"
513,해외 항공권,노쇼(No-Show)란 무엇인가요?,항공권 구매처로 사전에 취소 요청 없이 탑승하지 않는 것을 노쇼(No-Show)라고 합니다. 노쇼(No-Show)를 하면 항공사 규정에 따라 별도의 수수료가 발생하거나 항공권의 유효성이 상실될 수 있습니다.
514,실시간 항공권,미확정 요금이란 무엇인가요?,"요금에 대한 항공사의 승인이 필요한 경우 미확정 요금으로 예약이 완료됩니다. 미확정 요금은 선택한 요금보다 인상될 수 있으며, 운임 규정 또한 변경될 수 있습니다. 요금이 확정된 후에는 PC 웹사이트 [실시간 항공권 → 예약 확인/결제]에서 요금과 규정을 확인한 후 결제해 주시기 바랍니다. 결제 기한까지 요금이 확정되지 않으면 자동으로 취소됩니다. 
 ※ [실시간 항공권] 예약 및 변경은 PC 웹사이트에서만 가능합니다. (모바일 앱에서는 불가)"
515,실시간 항공권,여행자 보험에 가입하고 싶은데 어떻게 해야 하나요?,"여행자 보험은 온라인투어 홈페이지에서 직접 가입할 수 있습니다. 
 (주)온라인투어 고객센터
연락처 : 02-3705-8282
운영시간 : 평일 오전 9시~오후 6시 (주말 및 공휴일 휴무)
홈페이지 : http://www.onlinetour.co.kr"
516,해외 항공권,현금 영수증도 발행 가능한가요?,"네, 해외 항공권을 현금으로 결제한 후 발권이 완료되면 현금영수증을 발급받을 수 있습니다. 
 항공권 현금영수증 발급받기
① PC 웹사이트 [실시간 항공권 → 예약 확인/결제]
② 예약번호 선택 → [현금 영수증 발행] 선택
 ※ [실시간 항공권] 예약 및 변경은 PC 웹사이트에서만 가능합니다. (모바일 앱에서는 불가)"
517,해외 항공권,탑승 수속은 언제까지 해야 하나요?,"항공사마다 차이는 있으나 출발 시간 기준으로 1시간 이전에는 탑승 수속이 마감됩니다. 성수기에는 탑승 수속 및 출국 심사에 시간이 많이 걸리니, 출발 2~3시간 전에는 공항에 도착하여 안전하게 출국 수속을 진행해 주시기 바랍니다."
518,실시간 항공권,좌석을 미리 배정받고 싶습니다.,"예약 완료 후 출발 3일 전까지는 PC 웹사이트 [실시간 항공권 → 예약 확인/결제 → 사전좌석배정]에서 미리 좌석을 배정받을 수 있습니다. 단, 항공사 사정에 의해 좌석이 변경되는 경우가 있으며, 예약 변경 시에는 좌석 배정을 다시 요청해 주셔야 합니다. 
 유의사항
유아를 동반할 경우 온라인투어 고객센터로 연락해 주세요.
 (주)온라인투어
연락처 : 02-3705-8282
운영시간 : 평일 오전 9시~오후 6시 (주말 및 공휴일 휴무) 
 ※ [실시간 항공권] 예약 및 변경은 PC 웹사이트에서만 가능합니다. (모바일 앱에서는 불가)"
519,실시간 항공권,대기 예약인 경우 언제 확약(OK) 되나요?,"대기 예약의 좌석 확약(OK) 가능 여부 및 순번은 쿠팡에서 확인이 어렵습니다. 또한, 대기 예약도 결제 기한이 주어지며 해당 기한까지 확약(OK) 되지 않으면 예약은 자동으로 취소될 수 있습니다. 좌석의 변동 상황은 PC 웹사이트 [실시간 항공권] → [예약 확인/결제] 페이지에서 확인해 주세요.
 ※ [실시간 항공권] 예약 및 변경은 PC 웹사이트에서만 가능합니다. (모바일 앱에서는 불가)"
520,실시간 항공권,출국일/귀국일 예약 변경이 가능한가요?,"출국일/귀국일 예약 변경은 기존 예약을 취소하고 다시 예약하는 것을 권장합니다. 상황별 자세한 내용은 아래를 참고해 주세요. (PC에서만 가능, 모바일에서는 불가)
 예약 가능한 좌석이 없는 경우
① PC 웹사이트 : 실시간항공권 → [예약 확인/결제]에서 변경 요청
② 가능 여부 확인 후 답변해 드립니다.
※ 출발 3일 전까지 요청할 수 있으며 주말과 공휴일에는 처리되지 않습니다. 
 예약 가능한 좌석이 있는 경우 예약 변경하기 (결제 전)
① PC 웹사이트 : 실시간항공권 → [예약 확인/결제] → [예약번호] 선택
② [스케줄변경] 선택
③ 원하는 날짜/시간을 작성하여 변경 요청
 예약 가능한 좌석이 있는 경우 예약 변경하기 (결제 후)
① PC 웹사이트 : 실시간항공권 → [예약 확인/결제] → [예약번호] 선택
② [1:1 예약상담] 선택
③ 원하는 날짜/시간을 작성하여 변경 요청
 유의사항
• 변경이 완료되면 [예약 확인/결제]에서 확인할 수 있습니다.
• 예약 변경 완료 후 전자 항공권은 이메일로 전송됩니다. 반드시 출력하여 출국 시 소지해 주세요.
• 발권 후에는 예약이 변경되지 않거나 추가 비용이 발생할 수 있습니다."
521,실시간 항공권,탑승자 본인 외 제3자의 카드로 결제할 수 있나요?,"기본적으로 탑승자 본인 외 제3자의 카드로는 결제할 수 없습니다. 단, 탑승자 가족의 카드 또는 법인 카드 사용 시 아래의 증빙 서류를 첨부하면 발권이 가능합니다. 
 • 가족의 카드 : 가족관계증명서
• 법인 카드 : 사업자등록증 및 재직증명서"
522,해외배송,주문 시 개인통관고유부호를 잘못 입력했거나 입력하지 않았습니다.,"정확한 개인통관고유부호를 확인하신 후 판매자에게 받는 사람(수취인)의 이름, 연락처, 개인통관고유부호를 전달해주시면 됩니다. 
혹은 통관업체로부터 연락을 받으셨다면 정보를 전달해 주시면 됩니다."
523,상품문의,상품문의 작성 후 수정 또는 삭제가 가능한가요?,"상품문의 페이지에서 본인이 작성한 문의 글을 선택하면 [삭제] 버튼이 보입니다. 이 버튼을 선택하여 직접 삭제할 수 있습니다. 수정 기능은 제공되지 않으므로 수정이 필요한 경우 삭제 후 다시 문의 글을 작성해 주시기 바랍니다. 
 ※ 방송통신위원회의 『인터넷 자기게시물 접근배제요청권 가이드라인』에 따라 이용자 본인이 인터넷상 게시한 게시물에 대해 타인의 접근 배제를 요청하실 수 있습니다. 직접 삭제 처리가 어려우신 경우 또는 탈퇴 후 문의 내역 삭제가 필요하신 경우에는 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다."
524,해외 호텔,사전에 취소를 요청하지 않고 체크인을 못하면 취소 수수료는 어떻게 되나요?,체크인을 하지 않은 경우 노쇼(No-show)로 처리되어 환불되지 않습니다.
525,해외 호텔,객실 요금에 부가가치세(VAT)가 포함되어 있나요?,"네, 모든 해외 호텔 요금에는 부가가치세(VAT)와 봉사료가 포함되어 있습니다. 단, 예약한 지역과 호텔 규정에 따라 발생할 수 있는 도시세(City tax)와 리조트피(Resort fee)는 포함되어 있지 않습니다."
526,해외 호텔,조식이 포함된 경우 조식을 먹지 않으면 환불되나요?,아니요. 조식을 이용하지 않더라도 조식 요금은 환불되지 않습니다. 조식을 이용하지 않을 가능성이 있다면 조식 미포함 객실을 예약할 것을 권장합니다.
527,해외 호텔,도시세(City Tax)와 리조트피(Resort Fee)는 무조건 지불하는 건가요?,도시세와 리조트피는 예약한 지역과 숙박 업체의 규정에 따라 다양합니다. 도시세와 리조트피가 발생하면 호텔 등 숙박 업체에서 지불하면 됩니다.
528,해외 호텔,호텔에 바우처 없이 체크인 할 수 있나요?,체크인 시 바우처를 제출하지 않으면 정보 확인 등 체크인 과정에서 문제가 발생할 수 있으니 가급적 바우처는 출력해서 제출하시기 바랍니다. 출력이 어려운 경우에는 바우처를 이메일 등에 저장하여 문제 발생 시 바로 확인할 수 있도록 준비해 주세요.
529,해외 호텔,"고층, 금연실과 같은 요청사항을 사전에 확정받을 수 있나요?","요청 사항을 호텔에 전달해 드리지만, 사전 확정은 100% 보장되지 않습니다."
530,해외 호텔,결제수단을 변경하고 싶습니다.,"예약 후 결제수단 변경은 불가합니다. 기존 예약을 취소한 후 다시 구매해 주시기 바랍니다. 단, 기존 예약 취소 시 환불 조건을 먼저 확인해 주세요."
531,주소 검색,5자리 우편번호만 검색되는데 6자리 우편번호는 사용할 수 없나요?,"네, 2015년 8월 1일부터 5자리 우편번호를 사용하게 되었습니다. 원활한 배송을 위해 5자리 새 우편번호를 사용해 주시기 바랍니다. 만약, 본인 주소지의 5자리 우편번호를 모르거나 등록되어 있지 않다면 [행정부 도로명주소 웹사이트 도움센터]를 이용해 주세요."
532,주소 검색,정식 건축물이 아닌데 배송지로 등록할 수 있나요?,"네, 행정부에 등록된 주소라면 정식 건축물이 아니어도 배송지로 등록할 수 있습니다. (예 : 가건물, 비닐하우스, 건축 중인 건물 등) 따라서, 고객님의 주소가 [행정부 도로명주소 웹사이트]에서 검색되는지 확인한 후 등록된 주소를 사용해 주시기 바랍니다. 만약, 고객님의 주소가 행정부에 등록되어 있지 않다면 관할 행정구역 및 [주소 도움센터]에 등록을 먼저 요청해 주세요."
